date,perfect_revenue,forecast_revenue,realized_revenue,capture_ratio,cycles
2026-04-01 00:00:00+03:00,10154.35396416,7840.184764433467,8837.96264836,0.8703618841290909,1.423127465
2026-04-02 00:00:00+03:00,7527.4721226850015,6712.638229271466,5796.3230536,0.7700225200611555,1.423127465
2026-04-03 00:00:00+03:00,11500.890455215,8976.017256361563,6046.803224828001,0.5257682653681932,1.423127465
2026-04-04 00:00:00+03:00,16771.474553125,14940.911762848722,15334.015713015,0.9142914455400607,1.423127465
2026-04-05 00:00:00+03:00,17940.8097960625,11352.596802548936,14210.890446099998,0.7920986068989421,1.423127465
2026-04-06 00:00:00+03:00,19723.397037655,18082.431937526468,17400.51408,0.8822270345610213,1.423127465
2026-04-07 00:00:00+03:00,17644.081820314997,17010.827385347457,16562.856537,0.9387202295746498,1.423127465
2026-04-08 00:00:00+03:00,16283.48251456,15106.37111901581,15524.91954715375,0.9534151882603751,1.4231274637500002
2026-04-09 00:00:00+03:00,16807.77840714,15938.830310473917,15485.4518112025,0.9213265094347168,1.423127465
2026-04-10 00:00:00+03:00,15676.784053795,15393.074347840944,13689.961372434998,0.873263376305867,1.423127465
2026-04-11 00:00:00+03:00,15722.057145660001,14259.549617137642,12511.789559404999,0.7958112251779227,1.423127465
2026-04-12 00:00:00+03:00,13187.81633561625,12189.706227371142,10697.158190999999,0.81113945772131,1.30625
2026-04-13 00:00:00+03:00,13782.9488640625,13833.677416343737,12351.226404605,0.896123647154307,1.423127465
2026-04-14 00:00:00+03:00,14156.75563276,12795.120103330057,11646.925788215,0.8227115089323835,1.423127465
2026-04-15 00:00:00+03:00,8231.160511690001,8215.657413395325,5764.260395215,0.7002974109214032,1.423127465
2026-04-16 00:00:00+03:00,15095.515391134999,13898.04651645072,13761.790795431249,0.911647627712864,1.4231274637500002
2026-04-17 00:00:00+03:00,13320.003981065,12939.950303641936,12866.966543585,0.9659881905347767,1.423127465
2026-04-18 00:00:00+03:00,11780.084587740002,11846.647268997285,11206.19462268,0.9512830352969389,1.4231274637500002
2026-04-19 00:00:00+03:00,13368.594199859997,12970.150970342575,12620.48263714,0.9440396236480997,1.2825
2026-04-20 00:00:00+03:00,14424.770977585002,14947.773472502351,13586.55997922,0.9418908626232251,1.423127465
2026-04-21 00:00:00+03:00,13382.497431175001,13265.224647538384,12244.77661604,0.9149844174462802,1.423127465
2026-04-22 00:00:00+03:00,20642.802319765,15477.916257800483,14914.208734585001,0.7224895391409623,1.423127465
2026-04-23 00:00:00+03:00,18398.387597435,16684.3179728654,16161.800412715,0.8784356959067536,1.4231274637500002
2026-04-24 00:00:00+03:00,19013.32465293175,17052.570741377807,15633.903214175,0.8222603621173815,1.423127465
2026-04-25 00:00:00+03:00,19138.33603748375,13894.808919669673,13933.615355355,0.7280473771630435,1.423127465
2026-04-26 00:00:00+03:00,15395.920537705,10369.356167518468,12276.69597443,0.7973992814761586,1.23
2026-04-27 00:00:00+03:00,15522.46231513125,14266.406714051676,11605.7431296,0.7476741056917726,1.423127465
2026-04-28 00:00:00+03:00,13510.841024841002,13809.41916114012,12525.60394186,0.927078034508026,1.423127465
2026-04-29 00:00:00+03:00,18150.674387358747,17770.792001603262,14765.383042275,0.8134895005641513,1.423127465
2026-04-30 00:00:00+03:00,15359.474971215,14592.405177755161,12004.94290569,0.7815985200137578,1.423127465
