model,mae,rmse,n_features
Ridge (single window),11.280741422947651,18.223037191937692,82
LGBM full (CV mean),10.225931353731877,17.19666287468838,82
LGBM pruned (CV mean),10.144577479388674,17.068091781206334,38
LGBM no-extras (CV mean),10.266019292055407,17.110363914712707,77
