time,action,power_mw,charge_mw,discharge_mw,soc_mwh,price_q10,price_q50,price_q90,spread,confidence
2026-04-30 00:00:00+03:00,discharge,50.0,0.0,50.0,36.842105,90.18681359010709,117.98945554954776,152.81273673038564,62.625923140278545,high
2026-04-30 00:15:00+03:00,discharge,50.0,0.0,50.0,23.684211,84.81768197747948,104.38517115520817,147.4762736152648,62.65859163778532,high
2026-04-30 00:30:00+03:00,discharge,50.0,0.0,50.0,10.526316,85.46109173848585,102.71957128963099,143.77933587749555,58.31824413900971,high
2026-04-30 00:45:00+03:00,idle,0.0,0.0,0.0,10.526316,76.10939473093566,93.77409307970179,142.8604316362374,66.75103690530173,high
2026-04-30 01:00:00+03:00,idle,0.0,0.0,0.0,10.526316,74.96357734825303,87.21971380918353,140.9350887187894,65.97151137053636,high
2026-04-30 01:15:00+03:00,charge,-12.327962,12.327962,0.0,13.454207,68.96680792387139,79.28633007157865,130.99272293949693,62.02591501562554,high
2026-04-30 01:30:00+03:00,idle,0.0,0.0,0.0,13.454207,68.49835509925177,79.52491762441576,132.39821611647614,63.89986101722437,high
2026-04-30 01:45:00+03:00,idle,0.0,0.0,0.0,13.454207,68.80929365285641,79.73784936721655,129.01592840353996,60.20663475068355,high
2026-04-30 02:00:00+03:00,charge,-50.0,50.0,0.0,25.329207,58.159238045839146,74.887540712931,118.76006183201623,60.60082378617709,high
2026-04-30 02:15:00+03:00,idle,0.0,0.0,0.0,25.329207,61.47213837520733,83.95363979175606,127.22280963441813,65.7506712592108,high
2026-04-30 02:30:00+03:00,idle,0.0,0.0,0.0,25.329207,58.40860939359832,82.9681551967466,127.22280963441813,68.81420024081982,high
2026-04-30 02:45:00+03:00,idle,0.0,0.0,0.0,25.329207,59.384321782058215,82.58789323065376,125.00299430044186,65.61867251838365,high
2026-04-30 03:00:00+03:00,idle,0.0,0.0,0.0,25.329207,60.26258370038397,81.83835848008691,121.75765164536985,61.49506794498588,high
2026-04-30 03:15:00+03:00,idle,0.0,0.0,0.0,25.329207,60.86245027442976,85.03407477525,124.0975606251053,63.23511035067554,high
2026-04-30 03:30:00+03:00,idle,0.0,0.0,0.0,25.329207,62.16853020125285,82.84385322688816,132.85843501009782,70.68990480884497,high
2026-04-30 03:45:00+03:00,idle,0.0,0.0,0.0,25.329207,62.54353558346608,85.98732407465043,135.15201710041043,72.60848151694435,high
2026-04-30 04:00:00+03:00,idle,0.0,0.0,0.0,25.329207,64.20600994340356,79.42837709942746,137.967489045624,73.76147910222045,high
2026-04-30 04:15:00+03:00,idle,0.0,0.0,0.0,25.329207,67.13809472943689,80.0047382521675,135.78976926208506,68.65167453264817,high
2026-04-30 04:30:00+03:00,idle,0.0,0.0,0.0,25.329207,73.78580601215175,91.84276012951192,143.90430734618792,70.11850133403617,high
2026-04-30 04:45:00+03:00,idle,0.0,0.0,0.0,25.329207,76.2496036176419,91.9410934986803,159.7760484752089,83.52644485756701,high
2026-04-30 05:00:00+03:00,idle,0.0,0.0,0.0,25.329207,70.56894457046668,90.14696292543427,135.16482686298536,64.59588229251868,high
