date,perfect_revenue,forecast_revenue,realized_revenue,capture_ratio,cycles
2026-04-01 00:00:00+03:00,10154.35396416,5272.0731781658815,7746.704343885,0.7628948499557088,1.423127465
2026-04-02 00:00:00+03:00,7527.4721226850015,10422.884653152018,6056.731266295001,0.8046168976225452,1.423127465
2026-04-03 00:00:00+03:00,11500.890455215,9304.188664133197,6672.34266192,0.5801587875219237,1.423127465
2026-04-04 00:00:00+03:00,16771.474553125,10826.616050018765,14475.82958149125,0.863122054989136,1.4231274637500002
2026-04-05 00:00:00+03:00,17940.8097960625,9497.174159559567,12668.260290999999,0.7061141852014018,1.4190625
2026-04-06 00:00:00+03:00,19723.397037655,11797.539873754267,12694.429555474999,0.6436228775012428,1.423127465
2026-04-07 00:00:00+03:00,17644.081820314997,13659.403146863702,14539.830119864999,0.8240627235770448,1.423127465
2026-04-08 00:00:00+03:00,16283.48251456,12022.89243900143,12641.944239705,0.776366126128186,1.423127465
2026-04-09 00:00:00+03:00,16807.77840714,14734.546137750982,15420.397127755,0.9174559988965804,1.423127465
2026-04-10 00:00:00+03:00,15676.784053795,12288.499145042348,12672.85368112,0.8083835075888657,1.423127465
2026-04-11 00:00:00+03:00,15722.057145660001,9108.602887190607,12577.516054285,0.7999917528449491,1.423127465
2026-04-12 00:00:00+03:00,13187.81633561625,9695.200942979678,11255.539163079999,0.85348012715966,0.98
2026-04-13 00:00:00+03:00,13782.9488640625,11135.836322916763,11491.69029986,0.8337613679916711,1.423127465
2026-04-14 00:00:00+03:00,14156.75563276,11309.088639657537,6350.490679995,0.4485837606251673,1.423127465
2026-04-15 00:00:00+03:00,8231.160511690001,10342.061879804543,3526.35814715,0.42841567020128213,1.423127465
2026-04-16 00:00:00+03:00,15095.515391134999,11498.749638983325,14285.885379696,0.9463661895297418,1.423127465
2026-04-17 00:00:00+03:00,13320.003981065,10520.882613403552,11451.75276966,0.8597409419651221,1.2825
2026-04-18 00:00:00+03:00,11780.084587740002,11015.557967778836,10589.02069704,0.8988917369965586,1.3953125
2026-04-19 00:00:00+03:00,13368.594199859997,9580.322086051241,12412.466776,0.9284795835997467,1.080625
2026-04-20 00:00:00+03:00,14424.770977585002,11977.553868880732,13431.091366880002,0.9311129714122254,1.1775
2026-04-21 00:00:00+03:00,13382.497431175001,14040.034760070823,11705.897578499498,0.8747169680922333,1.4231274637500002
2026-04-22 00:00:00+03:00,20642.802319765,11411.28794219314,12476.5543717,0.6044021629637945,1.423127465
2026-04-23 00:00:00+03:00,18398.387597435,11876.540853546798,15391.95706759,0.8365927169474274,1.423127465
2026-04-24 00:00:00+03:00,19013.32465293175,13533.47172846471,16080.8021991925,0.8457648776702988,1.4231274637500002
2026-04-25 00:00:00+03:00,19138.33603748375,15245.776518432891,16593.73178513,0.8670415104338242,1.423127465
2026-04-26 00:00:00+03:00,15395.920537705,13503.16668192406,11167.960653740001,0.725384404679758,1.3025
2026-04-27 00:00:00+03:00,15522.46231513125,14783.874755727655,14819.130372839998,0.9546894089344545,1.278125
2026-04-28 00:00:00+03:00,13510.841024841002,11855.97818203031,10557.03078958,0.7813748063625252,1.080625
2026-04-29 00:00:00+03:00,18150.674387358747,13976.347723195582,15040.05388415125,0.8286223180019181,1.4231274637500002
2026-04-30 00:00:00+03:00,15359.474971215,13147.493646136165,13458.53315216,0.8762365365601669,1.423127465
