learning_rate,num_leaves,min_data_in_leaf,mae_mean,mae_std,rmse_mean,n_folds
0.05,63,30,19.697108649427964,2.5415010655419046,26.478334135061086,3
0.05,63,50,19.778101492481046,2.5667826941705925,26.161345641214783,3
0.01,63,50,19.829205814695857,1.9392238961829853,26.384216539926996,3
0.1,127,30,19.863435534746838,1.9294681229868516,26.182159064803127,3
0.01,63,30,19.88547747244016,1.664304389053407,26.45619229395452,3
0.1,127,50,19.94117719828654,3.114200274451269,26.20732178516599,3
0.01,127,50,20.184810618236593,2.1727124460931964,26.461866309763383,3
0.01,127,30,20.259557164742358,2.3668879052003278,26.582916249926768,3
0.1,63,50,20.334684366815424,1.895028159612616,26.994912602623188,3
0.05,127,50,20.512230309200955,2.3520018577350323,26.7862117507332,3
0.1,63,30,20.63995994673881,2.3433284929074225,27.26525416265577,3
0.05,127,30,20.71475075810183,2.7782746205270503,26.95830947720371,3
