time,charge_mw,discharge_mw,net_mw,soc_mwh,q05,q50,q95,dispatch_price,spread
2026-04-30 00:00:00+03:00,0.0,50.0,50.0,36.842105,70.21507330317333,127.81862818725168,180.07390240758934,126.74897205450353,109.85882910441602
2026-04-30 00:15:00+03:00,0.0,0.0,0.0,36.842105,70.23181940783307,126.36603481368152,163.43884892648165,122.55375455507186,93.20702951864858
2026-04-30 00:30:00+03:00,0.0,0.0,0.0,36.842105,69.57646760857345,124.76622683048032,158.65040034008,120.50510968801889,89.07393273150656
2026-04-30 00:45:00+03:00,0.0,0.0,0.0,36.842105,68.79727537730402,119.47481183218272,157.93954609018647,117.03225139280774,89.14227071288245
2026-04-30 01:00:00+03:00,0.0,0.0,0.0,36.842105,69.12018714141635,125.44674637161785,156.99506611930718,120.49109847511542,87.87487897789083
2026-04-30 01:15:00+03:00,0.0,0.0,0.0,36.842105,64.64758942502894,121.94800505737811,161.54184403733314,118.40668972689929,96.8942546123042
2026-04-30 01:30:00+03:00,0.0,0.0,0.0,36.842105,66.82211592601584,121.15779189414599,163.15072060007918,118.6892424417066,96.32860467406334
2026-04-30 01:45:00+03:00,0.0,0.0,0.0,36.842105,66.28627169247348,118.9102642227381,164.30903032422327,117.46521893698223,98.0227586317498
2026-04-30 02:00:00+03:00,0.0,0.0,0.0,36.842105,63.18490284006701,118.5987924102466,162.34793474439095,116.26584296303955,99.16303190432394
2026-04-30 02:15:00+03:00,0.0,0.0,0.0,36.842105,62.5200284000134,119.72378359093926,158.31392166906994,116.00106016838022,95.79389326905654
2026-04-30 02:30:00+03:00,0.0,0.0,0.0,36.842105,63.18490284006701,118.3671671750013,164.39399878235736,116.53608062948564,101.20909594229035
2026-04-30 02:45:00+03:00,0.0,0.0,0.0,36.842105,63.720747073609374,119.24097068179029,166.11189661749978,117.51111114729599,102.3911495438904
2026-04-30 03:00:00+03:00,0.0,0.0,0.0,36.842105,60.868070652631886,117.14784048236558,158.6469753790831,114.19171349576234,97.77890472645122
2026-04-30 03:15:00+03:00,0.0,0.0,0.0,36.842105,59.3361763825104,117.8714502196907,160.5612969167013,114.70236479165678,101.2251205341909
2026-04-30 03:30:00+03:00,0.0,0.0,0.0,36.842105,62.30963226187187,115.30797772353736,157.53111283537154,113.15293565357109,95.22148057349968
2026-04-30 03:45:00+03:00,0.0,0.0,0.0,36.842105,61.44934837161409,115.95866867238479,159.70941967832246,113.80695481341817,98.26007130670837
2026-04-30 04:00:00+03:00,0.0,0.0,0.0,36.842105,62.80374369911172,117.02881247257744,160.77926067589684,114.93388835854816,97.97551697678512
2026-04-30 04:15:00+03:00,0.0,0.0,0.0,36.842105,63.72462876607662,116.5271637203069,157.3530105930151,114.13182610400249,93.6283818269385
2026-04-30 04:30:00+03:00,0.0,0.0,0.0,36.842105,64.12758567299122,116.20059192952911,159.8513393013196,114.51614015257962,95.72375362832838
2026-04-30 04:45:00+03:00,0.0,0.0,0.0,36.842105,66.41672486501723,120.25310268439253,165.9286016125409,118.62092690614716,99.51187674752366
2026-04-30 05:00:00+03:00,0.0,0.0,0.0,36.842105,64.18090923323372,116.39166424029335,152.83255819378758,113.23769202958026,88.65164896055386
2026-04-30 05:15:00+03:00,0.0,0.0,0.0,36.842105,64.18090923323372,116.33225738312905,153.1939653247975,113.27432934148366,89.01305609156377
2026-04-30 05:30:00+03:00,0.0,0.0,0.0,36.842105,67.20360792528425,123.07427654266584,160.89965116592188,119.46521774384073,93.69604324063764
